LTER_site,local_site,logger,date,yr,mon,doy,met,c1cr_temp,c1cr_flag,qa_temp,qa_flag
NWT,c1,cr21x,1987-03-06,1987,3,65,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-07,1987,3,66,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-08,1987,3,67,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-09,1987,3,68,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-10,1987,3,69,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-11,1987,3,70,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-12,1987,3,71,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-13,1987,3,72,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-14,1987,3,73,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-15,1987,3,74,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-16,1987,3,75,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-17,1987,3,76,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-18,1987,3,77,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-19,1987,3,78,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-20,1987,3,79,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-21,1987,3,80,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-22,1987,3,81,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-23,1987,3,82,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-24,1987,3,83,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-25,1987,3,84,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-26,1987,3,85,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-27,1987,3,86,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-28,1987,3,87,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-29,1987,3,88,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-30,1987,3,89,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-31,1987,3,90,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-01,1987,4,91,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-02,1987,4,92,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-03,1987,4,93,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-04,1987,4,94,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-05,1987,4,95,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-06,1987,4,96,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-07,1987,4,97,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-08,1987,4,98,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-09,1987,4,99,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-10,1987,4,100,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-11,1987,4,101,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-12,1987,4,102,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-13,1987,4,103,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-14,1987,4,104,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-15,1987,4,105,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-16,1987,4,106,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-17,1987,4,107,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-18,1987,4,108,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-19,1987,4,109,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-20,1987,4,110,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-21,1987,4,111,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-22,1987,4,112,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-23,1987,4,113,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-24,1987,4,114,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-25,1987,4,115,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-26,1987,4,116,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-27,1987,4,117,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-28,1987,4,118,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-29,1987,4,119,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-04-30,1987,4,120,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-01,1987,5,121,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-02,1987,5,122,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-03,1987,5,123,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-04,1987,5,124,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-05,1987,5,125,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-06,1987,5,126,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-07,1987,5,127,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-08,1987,5,128,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-09,1987,5,129,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-10,1987,5,130,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-11,1987,5,131,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-12,1987,5,132,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-13,1987,5,133,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-14,1987,5,134,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-15,1987,5,135,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-16,1987,5,136,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-17,1987,5,137,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-18,1987,5,138,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-19,1987,5,139,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-20,1987,5,140,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-21,1987,5,141,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-22,1987,5,142,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-23,1987,5,143,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-24,1987,5,144,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-25,1987,5,145,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-26,1987,5,146,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-27,1987,5,147,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-28,1987,5,148,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-29,1987,5,149,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-30,1987,5,150,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-05-31,1987,5,151,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-01,1987,6,152,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-02,1987,6,153,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-03,1987,6,154,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-04,1987,6,155,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-05,1987,6,156,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-06,1987,6,157,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-07,1987,6,158,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-08,1987,6,159,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-09,1987,6,160,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-10,1987,6,161,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-11,1987,6,162,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-12,1987,6,163,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-13,1987,6,164,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-14,1987,6,165,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-15,1987,6,166,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-16,1987,6,167,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-17,1987,6,168,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-18,1987,6,169,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-19,1987,6,170,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-20,1987,6,171,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-21,1987,6,172,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-22,1987,6,173,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-23,1987,6,174,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-24,1987,6,175,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-25,1987,6,176,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-26,1987,6,177,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-27,1987,6,178,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-28,1987,6,179,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-29,1987,6,180,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-06-30,1987,6,181,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-01,1987,7,182,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-02,1987,7,183,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-03,1987,7,184,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-04,1987,7,185,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-05,1987,7,186,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-06,1987,7,187,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-07,1987,7,188,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-08,1987,7,189,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-09,1987,7,190,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-10,1987,7,191,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-11,1987,7,192,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-12,1987,7,193,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-13,1987,7,194,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-14,1987,7,195,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-15,1987,7,196,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-16,1987,7,197,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-17,1987,7,198,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-18,1987,7,199,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-19,1987,7,200,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-20,1987,7,201,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-21,1987,7,202,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-22,1987,7,203,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-23,1987,7,204,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-24,1987,7,205,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-25,1987,7,206,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-26,1987,7,207,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-27,1987,7,208,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-28,1987,7,209,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-29,1987,7,210,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-30,1987,7,211,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-07-31,1987,7,212,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-01,1987,8,213,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-02,1987,8,214,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-03,1987,8,215,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-04,1987,8,216,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-05,1987,8,217,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-06,1987,8,218,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-07,1987,8,219,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-08,1987,8,220,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-09,1987,8,221,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-10,1987,8,222,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-11,1987,8,223,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-12,1987,8,224,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-13,1987,8,225,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-14,1987,8,226,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-15,1987,8,227,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-16,1987,8,228,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-17,1987,8,229,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-18,1987,8,230,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-19,1987,8,231,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-20,1987,8,232,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-21,1987,8,233,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-22,1987,8,234,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-23,1987,8,235,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-24,1987,8,236,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-25,1987,8,237,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-26,1987,8,238,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-27,1987,8,239,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-28,1987,8,240,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-29,1987,8,241,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-30,1987,8,242,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-08-31,1987,8,243,airtemp_max,NA,NA,NA,NA
