"","LTER_site","local_site","date","yr","mon","day","ppt_tot","source"
"71","NWT","sdl",1981-10-09,1981,10,9,0.39,"NSF proposal data"
"72","NWT","sdl",1981-10-10,1981,10,10,0,"NSF proposal data"
"73","NWT","sdl",1981-10-11,1981,10,11,1.17,"NSF proposal data"
"74","NWT","sdl",1981-10-12,1981,10,12,0,"NSF proposal data"
"75","NWT","sdl",1981-10-13,1981,10,13,0,"NSF proposal data"
"76","NWT","sdl",1981-10-14,1981,10,14,1.17,"NSF proposal data"
"77","NWT","sdl",1981-10-15,1981,10,15,3.12,"NSF proposal data"
"78","NWT","sdl",1981-10-16,1981,10,16,0.78,"NSF proposal data"
"79","NWT","sdl",1981-10-17,1981,10,17,1.95,"NSF proposal data"
"80","NWT","sdl",1981-10-18,1981,10,18,0.39,"NSF proposal data"
"81","NWT","sdl",1981-10-19,1981,10,19,0,"NSF proposal data"
"82","NWT","sdl",1981-10-20,1981,10,20,0,"NSF proposal data"
"83","NWT","sdl",1981-10-21,1981,10,21,0,"NSF proposal data"
"84","NWT","sdl",1981-10-22,1981,10,22,0,"NSF proposal data"
"85","NWT","sdl",1981-10-23,1981,10,23,0,"NSF proposal data"
"86","NWT","sdl",1981-10-24,1981,10,24,0,"NSF proposal data"
"87","NWT","sdl",1981-10-25,1981,10,25,0,"NSF proposal data"
"88","NWT","sdl",1981-10-26,1981,10,26,5.46,"NSF proposal data"
"89","NWT","sdl",1981-10-27,1981,10,27,0,"NSF proposal data"
"90","NWT","sdl",1981-10-28,1981,10,28,0.39,"NSF proposal data"
"91","NWT","sdl",1981-10-29,1981,10,29,0.78,"NSF proposal data"
"92","NWT","sdl",1981-10-30,1981,10,30,3.51,"NSF proposal data"
"93","NWT","sdl",1981-10-31,1981,10,31,0,"NSF proposal data"
"94","NWT","sdl",1981-11-01,1981,11,1,0,"NSF proposal data"
"95","NWT","sdl",1981-11-02,1981,11,2,0,"NSF proposal data"
"96","NWT","sdl",1981-11-03,1981,11,3,0,"NSF proposal data"
"97","NWT","sdl",1981-11-04,1981,11,4,0,"NSF proposal data"
"98","NWT","sdl",1981-11-05,1981,11,5,0,"NSF proposal data"
"99","NWT","sdl",1981-11-06,1981,11,6,0,"NSF proposal data"
"100","NWT","sdl",1981-11-07,1981,11,7,1.17,"NSF proposal data"
"101","NWT","sdl",1981-11-08,1981,11,8,0.39,"NSF proposal data"
"102","NWT","sdl",1981-11-09,1981,11,9,0.39,"NSF proposal data"
"103","NWT","sdl",1981-11-10,1981,11,10,0,"NSF proposal data"
"104","NWT","sdl",1981-11-11,1981,11,11,0,"NSF proposal data"
"105","NWT","sdl",1981-11-12,1981,11,12,0,"NSF proposal data"
"106","NWT","sdl",1981-11-13,1981,11,13,0,"NSF proposal data"
"107","NWT","sdl",1981-11-14,1981,11,14,0.39,"NSF proposal data"
"108","NWT","sdl",1981-11-15,1981,11,15,1.17,"NSF proposal data"
"109","NWT","sdl",1981-11-16,1981,11,16,0.39,"NSF proposal data"
"110","NWT","sdl",1981-11-17,1981,11,17,0,"NSF proposal data"
"111","NWT","sdl",1981-11-18,1981,11,18,2.73,"NSF proposal data"
"112","NWT","sdl",1981-11-19,1981,11,19,0.39,"NSF proposal data"
"113","NWT","sdl",1981-11-20,1981,11,20,1.17,"NSF proposal data"
"114","NWT","sdl",1981-11-21,1981,11,21,1.95,"NSF proposal data"
"115","NWT","sdl",1981-11-22,1981,11,22,3.12,"NSF proposal data"
"116","NWT","sdl",1981-11-23,1981,11,23,2.73,"NSF proposal data"
"117","NWT","sdl",1981-11-24,1981,11,24,0,"NSF proposal data"
"118","NWT","sdl",1981-11-25,1981,11,25,1.56,"NSF proposal data"
"119","NWT","sdl",1981-11-26,1981,11,26,1.17,"NSF proposal data"
"120","NWT","sdl",1981-11-27,1981,11,27,0,"NSF proposal data"
"121","NWT","sdl",1981-11-28,1981,11,28,1.17,"NSF proposal data"
"122","NWT","sdl",1981-11-29,1981,11,29,1.17,"NSF proposal data"
"123","NWT","sdl",1981-11-30,1981,11,30,3.9,"NSF proposal data"
"124","NWT","sdl",1981-12-01,1981,12,1,9.36,"NSF proposal data"
"125","NWT","sdl",1981-12-02,1981,12,2,7.8,"NSF proposal data"
"126","NWT","sdl",1981-12-03,1981,12,3,1.56,"NSF proposal data"
"127","NWT","sdl",1981-12-04,1981,12,4,3.12,"NSF proposal data"
"128","NWT","sdl",1981-12-05,1981,12,5,0,"NSF proposal data"
"129","NWT","sdl",1981-12-06,1981,12,6,0.78,"NSF proposal data"
"130","NWT","sdl",1981-12-07,1981,12,7,1.56,"NSF proposal data"
"131","NWT","sdl",1981-12-08,1981,12,8,0,"NSF proposal data"
"132","NWT","sdl",1981-12-09,1981,12,9,0,"NSF proposal data"
"133","NWT","sdl",1981-12-10,1981,12,10,0,"NSF proposal data"
"134","NWT","sdl",1981-12-11,1981,12,11,0.78,"NSF proposal data"
"135","NWT","sdl",1981-12-12,1981,12,12,1.17,"NSF proposal data"
"136","NWT","sdl",1981-12-13,1981,12,13,1.56,"NSF proposal data"
"137","NWT","sdl",1981-12-14,1981,12,14,5.46,"NSF proposal data"
"138","NWT","sdl",1981-12-15,1981,12,15,6.63,"NSF proposal data"
"139","NWT","sdl",1981-12-16,1981,12,16,1.17,"NSF proposal data"
"140","NWT","sdl",1981-12-17,1981,12,17,3.9,"NSF proposal data"
"141","NWT","sdl",1981-12-18,1981,12,18,0.78,"NSF proposal data"
"142","NWT","sdl",1981-12-19,1981,12,19,4.29,"NSF proposal data"
"143","NWT","sdl",1981-12-20,1981,12,20,0,"NSF proposal data"
"144","NWT","sdl",1981-12-21,1981,12,21,9.75,"NSF proposal data"
"145","NWT","sdl",1981-12-22,1981,12,22,3.51,"NSF proposal data"
"146","NWT","sdl",1981-12-23,1981,12,23,2.34,"NSF proposal data"
"147","NWT","sdl",1981-12-24,1981,12,24,4.29,"NSF proposal data"
"148","NWT","sdl",1981-12-25,1981,12,25,3.51,"NSF proposal data"
"149","NWT","sdl",1981-12-26,1981,12,26,2.73,"NSF proposal data"
"150","NWT","sdl",1981-12-27,1981,12,27,1.17,"NSF proposal data"
"151","NWT","sdl",1981-12-28,1981,12,28,0.78,"NSF proposal data"
"152","NWT","sdl",1981-12-29,1981,12,29,1.17,"NSF proposal data"
"153","NWT","sdl",1981-12-30,1981,12,30,3.9,"NSF proposal data"
"154","NWT","sdl",1981-12-31,1981,12,31,1.95,"NSF proposal data"
"155","NWT","sdl",1982-01-01,1982,1,1,1.95,"NSF proposal data"
"156","NWT","sdl",1982-01-02,1982,1,2,2.34,"NSF proposal data"
"157","NWT","sdl",1982-01-03,1982,1,3,0.78,"NSF proposal data"
"158","NWT","sdl",1982-01-04,1982,1,4,0.78,"NSF proposal data"
"159","NWT","sdl",1982-01-05,1982,1,5,3.51,"NSF proposal data"
"160","NWT","sdl",1982-01-06,1982,1,6,2.73,"NSF proposal data"
"161","NWT","sdl",1982-01-07,1982,1,7,1.17,"NSF proposal data"
"162","NWT","sdl",1982-01-08,1982,1,8,13.65,"NSF proposal data"
"163","NWT","sdl",1982-01-09,1982,1,9,5.07,"NSF proposal data"
"164","NWT","sdl",1982-01-10,1982,1,10,1.95,"NSF proposal data"
"165","NWT","sdl",1982-01-11,1982,1,11,2.34,"NSF proposal data"
"166","NWT","sdl",1982-01-12,1982,1,12,0.78,"NSF proposal data"
"167","NWT","sdl",1982-01-13,1982,1,13,5.07,"NSF proposal data"
"168","NWT","sdl",1982-01-14,1982,1,14,4.68,"NSF proposal data"
"169","NWT","sdl",1982-01-15,1982,1,15,7.8,"NSF proposal data"
"170","NWT","sdl",1982-01-16,1982,1,16,5.85,"NSF proposal data"
"171","NWT","sdl",1982-01-17,1982,1,17,5.46,"NSF proposal data"
"172","NWT","sdl",1982-01-18,1982,1,18,3.12,"NSF proposal data"
"173","NWT","sdl",1982-01-19,1982,1,19,2.73,"NSF proposal data"
"174","NWT","sdl",1982-01-20,1982,1,20,5.07,"NSF proposal data"
"175","NWT","sdl",1982-01-21,1982,1,21,1.56,"NSF proposal data"
"176","NWT","sdl",1982-01-22,1982,1,22,14.04,"NSF proposal data"
"177","NWT","sdl",1982-01-23,1982,1,23,15.99,"NSF proposal data"
"178","NWT","sdl",1982-01-24,1982,1,24,7.41,"NSF proposal data"
"179","NWT","sdl",1982-01-25,1982,1,25,0,"NSF proposal data"
"180","NWT","sdl",1982-01-26,1982,1,26,0,"NSF proposal data"
"181","NWT","sdl",1982-01-27,1982,1,27,2.34,"NSF proposal data"
"182","NWT","sdl",1982-01-28,1982,1,28,0,"NSF proposal data"
"183","NWT","sdl",1982-01-29,1982,1,29,1.17,"NSF proposal data"
"184","NWT","sdl",1982-01-30,1982,1,30,0.78,"NSF proposal data"
"185","NWT","sdl",1982-01-31,1982,1,31,2.34,"NSF proposal data"
"186","NWT","sdl",1982-02-01,1982,2,1,0,"NSF proposal data"
"187","NWT","sdl",1982-02-02,1982,2,2,0,"NSF proposal data"
"188","NWT","sdl",1982-02-03,1982,2,3,0,"NSF proposal data"
"189","NWT","sdl",1982-02-04,1982,2,4,0,"NSF proposal data"
"190","NWT","sdl",1982-02-05,1982,2,5,0,"NSF proposal data"
"191","NWT","sdl",1982-02-06,1982,2,6,0,"NSF proposal data"
"192","NWT","sdl",1982-02-07,1982,2,7,0,"NSF proposal data"
"193","NWT","sdl",1982-02-08,1982,2,8,3.9,"NSF proposal data"
"194","NWT","sdl",1982-02-09,1982,2,9,0,"NSF proposal data"
"195","NWT","sdl",1982-02-10,1982,2,10,0,"NSF proposal data"
"196","NWT","sdl",1982-02-11,1982,2,11,0,"NSF proposal data"
"197","NWT","sdl",1982-02-12,1982,2,12,0,"NSF proposal data"
"198","NWT","sdl",1982-02-13,1982,2,13,0,"NSF proposal data"
"199","NWT","sdl",1982-02-14,1982,2,14,0,"NSF proposal data"
"200","NWT","sdl",1982-02-15,1982,2,15,7.8,"NSF proposal data"
"201","NWT","sdl",1982-02-16,1982,2,16,1.17,"NSF proposal data"
"202","NWT","sdl",1982-02-17,1982,2,17,1.56,"NSF proposal data"
"203","NWT","sdl",1982-02-18,1982,2,18,8.19,"NSF proposal data"
"204","NWT","sdl",1982-02-19,1982,2,19,0,"NSF proposal data"
"205","NWT","sdl",1982-02-20,1982,2,20,1.56,"NSF proposal data"
"206","NWT","sdl",1982-02-21,1982,2,21,0.78,"NSF proposal data"
"207","NWT","sdl",1982-02-22,1982,2,22,0,"NSF proposal data"
"208","NWT","sdl",1982-02-23,1982,2,23,0,"NSF proposal data"
"209","NWT","sdl",1982-02-24,1982,2,24,0,"NSF proposal data"
"210","NWT","sdl",1982-02-25,1982,2,25,0,"NSF proposal data"
"211","NWT","sdl",1982-02-26,1982,2,26,0,"NSF proposal data"
"212","NWT","sdl",1982-02-27,1982,2,27,0.39,"NSF proposal data"
"213","NWT","sdl",1982-02-28,1982,2,28,0.39,"NSF proposal data"
"214","NWT","sdl",1982-03-01,1982,3,1,0.39,"NSF proposal data"
"215","NWT","sdl",1982-03-02,1982,3,2,0.39,"NSF proposal data"
"216","NWT","sdl",1982-03-03,1982,3,3,2.73,"NSF proposal data"
"217","NWT","sdl",1982-03-04,1982,3,4,0.78,"NSF proposal data"
"218","NWT","sdl",1982-03-05,1982,3,5,1.17,"NSF proposal data"
"219","NWT","sdl",1982-03-06,1982,3,6,0.78,"NSF proposal data"
"220","NWT","sdl",1982-03-07,1982,3,7,2.73,"NSF proposal data"
"221","NWT","sdl",1982-03-08,1982,3,8,3.51,"NSF proposal data"
"222","NWT","sdl",1982-03-09,1982,3,9,1.95,"NSF proposal data"
"223","NWT","sdl",1982-03-10,1982,3,10,0.39,"NSF proposal data"
"224","NWT","sdl",1982-03-11,1982,3,11,1.17,"NSF proposal data"
"225","NWT","sdl",1982-03-12,1982,3,12,9.75,"NSF proposal data"
"226","NWT","sdl",1982-03-13,1982,3,13,12.09,"NSF proposal data"
"227","NWT","sdl",1982-03-14,1982,3,14,0,"NSF proposal data"
"228","NWT","sdl",1982-03-15,1982,3,15,0.39,"NSF proposal data"
"229","NWT","sdl",1982-03-16,1982,3,16,0,"NSF proposal data"
"230","NWT","sdl",1982-03-17,1982,3,17,0.39,"NSF proposal data"
"231","NWT","sdl",1982-03-18,1982,3,18,0,"NSF proposal data"
"232","NWT","sdl",1982-03-19,1982,3,19,0,"NSF proposal data"
"233","NWT","sdl",1982-03-20,1982,3,20,0,"NSF proposal data"
"234","NWT","sdl",1982-03-21,1982,3,21,0,"NSF proposal data"
"235","NWT","sdl",1982-03-22,1982,3,22,5.85,"NSF proposal data"
"236","NWT","sdl",1982-03-23,1982,3,23,0.39,"NSF proposal data"
"237","NWT","sdl",1982-03-24,1982,3,24,0,"NSF proposal data"
"238","NWT","sdl",1982-03-25,1982,3,25,0,"NSF proposal data"
"239","NWT","sdl",1982-03-26,1982,3,26,0.78,"NSF proposal data"
"240","NWT","sdl",1982-03-27,1982,3,27,0.39,"NSF proposal data"
"241","NWT","sdl",1982-03-28,1982,3,28,0.39,"NSF proposal data"
"242","NWT","sdl",1982-03-29,1982,3,29,2.73,"NSF proposal data"
"243","NWT","sdl",1982-03-30,1982,3,30,4.29,"NSF proposal data"
"244","NWT","sdl",1982-03-31,1982,3,31,0.39,"NSF proposal data"
"245","NWT","sdl",1982-04-01,1982,4,1,0,"NSF proposal data"
"246","NWT","sdl",1982-04-02,1982,4,2,6.24,"NSF proposal data"
"247","NWT","sdl",1982-04-03,1982,4,3,0,"NSF proposal data"
"248","NWT","sdl",1982-04-04,1982,4,4,2.34,"NSF proposal data"
"249","NWT","sdl",1982-04-05,1982,4,5,1.56,"NSF proposal data"
"250","NWT","sdl",1982-04-06,1982,4,6,2.73,"NSF proposal data"
"251","NWT","sdl",1982-04-07,1982,4,7,2.73,"NSF proposal data"
"252","NWT","sdl",1982-04-08,1982,4,8,0.39,"NSF proposal data"
"253","NWT","sdl",1982-04-09,1982,4,9,0.78,"NSF proposal data"
"254","NWT","sdl",1982-04-10,1982,4,10,1.56,"NSF proposal data"
"255","NWT","sdl",1982-04-11,1982,4,11,1.17,"NSF proposal data"
"256","NWT","sdl",1982-04-12,1982,4,12,5.07,"NSF proposal data"
"257","NWT","sdl",1982-04-13,1982,4,13,0,"NSF proposal data"
"258","NWT","sdl",1982-04-14,1982,4,14,0,"NSF proposal data"
"259","NWT","sdl",1982-04-15,1982,4,15,0,"NSF proposal data"
"260","NWT","sdl",1982-04-16,1982,4,16,0.78,"NSF proposal data"
"261","NWT","sdl",1982-04-17,1982,4,17,0,"NSF proposal data"
"262","NWT","sdl",1982-04-18,1982,4,18,0,"NSF proposal data"
"263","NWT","sdl",1982-04-19,1982,4,19,1.17,"NSF proposal data"
"264","NWT","sdl",1982-04-20,1982,4,20,0.39,"NSF proposal data"
"265","NWT","sdl",1982-04-21,1982,4,21,0,"NSF proposal data"
"266","NWT","sdl",1982-04-22,1982,4,22,0,"NSF proposal data"
"267","NWT","sdl",1982-04-23,1982,4,23,0,"NSF proposal data"
"268","NWT","sdl",1982-04-24,1982,4,24,0,"NSF proposal data"
"269","NWT","sdl",1982-04-25,1982,4,25,0.39,"NSF proposal data"
"270","NWT","sdl",1982-04-26,1982,4,26,1.95,"NSF proposal data"
"271","NWT","sdl",1982-04-27,1982,4,27,1.95,"NSF proposal data"
"272","NWT","sdl",1982-04-28,1982,4,28,0.39,"NSF proposal data"
"273","NWT","sdl",1982-04-29,1982,4,29,0.39,"NSF proposal data"
"274","NWT","sdl",1982-04-30,1982,4,30,0,"NSF proposal data"
"275","NWT","sdl",1982-05-01,1982,5,1,0,"NSF proposal data"
"276","NWT","sdl",1982-05-02,1982,5,2,0,"NSF proposal data"
"277","NWT","sdl",1982-05-03,1982,5,3,0,"NSF proposal data"
"278","NWT","sdl",1982-05-04,1982,5,4,0.39,"NSF proposal data"
"279","NWT","sdl",1982-05-05,1982,5,5,1.95,"NSF proposal data"
"280","NWT","sdl",1982-05-06,1982,5,6,0,"NSF proposal data"
"281","NWT","sdl",1982-05-07,1982,5,7,0,"NSF proposal data"
"282","NWT","sdl",1982-05-08,1982,5,8,0.39,"NSF proposal data"
"283","NWT","sdl",1982-05-09,1982,5,9,0,"NSF proposal data"
"284","NWT","sdl",1982-05-10,1982,5,10,0.39,"NSF proposal data"
"285","NWT","sdl",1982-05-11,1982,5,11,2.34,"NSF proposal data"
"286","NWT","sdl",1982-05-12,1982,5,12,12.09,"NSF proposal data"
"287","NWT","sdl",1982-05-13,1982,5,13,4.68,"NSF proposal data"
"288","NWT","sdl",1982-05-14,1982,5,14,1.56,"NSF proposal data"
"289","NWT","sdl",1982-05-15,1982,5,15,1.17,"NSF proposal data"
"290","NWT","sdl",1982-05-16,1982,5,16,0.78,"NSF proposal data"
"291","NWT","sdl",1982-05-17,1982,5,17,7.8,"NSF proposal data"
"292","NWT","sdl",1982-05-18,1982,5,18,0.39,"NSF proposal data"
"293","NWT","sdl",1982-05-19,1982,5,19,0.39,"NSF proposal data"
"294","NWT","sdl",1982-05-20,1982,5,20,0,"NSF proposal data"
"295","NWT","sdl",1982-05-21,1982,5,21,0,"NSF proposal data"
"296","NWT","sdl",1982-05-22,1982,5,22,0,"NSF proposal data"
"297","NWT","sdl",1982-05-23,1982,5,23,1.56,"NSF proposal data"
"298","NWT","sdl",1982-05-24,1982,5,24,3.12,"NSF proposal data"
"299","NWT","sdl",1982-05-25,1982,5,25,3.9,"NSF proposal data"
"300","NWT","sdl",1982-05-26,1982,5,26,0.78,"NSF proposal data"
"301","NWT","sdl",1982-05-27,1982,5,27,0,"NSF proposal data"
"302","NWT","sdl",1982-05-28,1982,5,28,0,"NSF proposal data"
"303","NWT","sdl",1982-05-29,1982,5,29,0,"NSF proposal data"
"304","NWT","sdl",1982-05-30,1982,5,30,3.12,"NSF proposal data"
"305","NWT","sdl",1982-05-31,1982,5,31,0,"NSF proposal data"
"306","NWT","sdl",1982-06-01,1982,6,1,0,"NSF proposal data"
"307","NWT","sdl",1982-06-02,1982,6,2,0,"NSF proposal data"
"308","NWT","sdl",1982-06-03,1982,6,3,4,"NSF proposal data"
"309","NWT","sdl",1982-06-04,1982,6,4,0,"NSF proposal data"
"310","NWT","sdl",1982-06-05,1982,6,5,0,"NSF proposal data"
"311","NWT","sdl",1982-06-06,1982,6,6,0,"NSF proposal data"
"312","NWT","sdl",1982-06-07,1982,6,7,0,"NSF proposal data"
"313","NWT","sdl",1982-06-08,1982,6,8,0,"NSF proposal data"
"314","NWT","sdl",1982-06-09,1982,6,9,0,"NSF proposal data"
"315","NWT","sdl",1982-06-10,1982,6,10,0,"NSF proposal data"
"316","NWT","sdl",1982-06-11,1982,6,11,2,"NSF proposal data"
"317","NWT","sdl",1982-06-12,1982,6,12,0,"NSF proposal data"
"318","NWT","sdl",1982-06-13,1982,6,13,0,"NSF proposal data"
"319","NWT","sdl",1982-06-14,1982,6,14,0,"NSF proposal data"
"320","NWT","sdl",1982-06-15,1982,6,15,2,"NSF proposal data"
"321","NWT","sdl",1982-06-16,1982,6,16,1,"NSF proposal data"
"322","NWT","sdl",1982-06-17,1982,6,17,15,"NSF proposal data"
"323","NWT","sdl",1982-06-18,1982,6,18,15,"NSF proposal data"
"324","NWT","sdl",1982-06-19,1982,6,19,0,"NSF proposal data"
"325","NWT","sdl",1982-06-20,1982,6,20,0,"NSF proposal data"
"326","NWT","sdl",1982-06-21,1982,6,21,0,"NSF proposal data"
"327","NWT","sdl",1982-06-22,1982,6,22,2,"NSF proposal data"
"328","NWT","sdl",1982-06-23,1982,6,23,0,"NSF proposal data"
"329","NWT","sdl",1982-06-24,1982,6,24,1,"NSF proposal data"
"330","NWT","sdl",1982-06-25,1982,6,25,5,"NSF proposal data"
"331","NWT","sdl",1982-06-26,1982,6,26,0,"NSF proposal data"
"332","NWT","sdl",1982-06-27,1982,6,27,0,"NSF proposal data"
"333","NWT","sdl",1982-06-28,1982,6,28,1,"NSF proposal data"
"334","NWT","sdl",1982-06-29,1982,6,29,1,"NSF proposal data"
"335","NWT","sdl",1982-06-30,1982,6,30,3,"NSF proposal data"
"336","NWT","sdl",1982-07-01,1982,7,1,7,"NSF proposal data"
"337","NWT","sdl",1982-07-02,1982,7,2,0,"NSF proposal data"
"338","NWT","sdl",1982-07-03,1982,7,3,0,"NSF proposal data"
"339","NWT","sdl",1982-07-04,1982,7,4,0,"NSF proposal data"
"340","NWT","sdl",1982-07-05,1982,7,5,4,"NSF proposal data"
"341","NWT","sdl",1982-07-06,1982,7,6,0,"NSF proposal data"
"342","NWT","sdl",1982-07-07,1982,7,7,0,"NSF proposal data"
"343","NWT","sdl",1982-07-08,1982,7,8,0,"NSF proposal data"
"344","NWT","sdl",1982-07-09,1982,7,9,3,"NSF proposal data"
"345","NWT","sdl",1982-07-10,1982,7,10,0,"NSF proposal data"
"346","NWT","sdl",1982-07-11,1982,7,11,4,"NSF proposal data"
"347","NWT","sdl",1982-07-12,1982,7,12,0,"NSF proposal data"
"348","NWT","sdl",1982-07-13,1982,7,13,0,"NSF proposal data"
"349","NWT","sdl",1982-07-14,1982,7,14,0,"NSF proposal data"
"350","NWT","sdl",1982-07-15,1982,7,15,1,"NSF proposal data"
"351","NWT","sdl",1982-07-16,1982,7,16,0,"NSF proposal data"
"352","NWT","sdl",1982-07-17,1982,7,17,0,"NSF proposal data"
"353","NWT","sdl",1982-07-18,1982,7,18,0,"NSF proposal data"
"354","NWT","sdl",1982-07-19,1982,7,19,0,"NSF proposal data"
"355","NWT","sdl",1982-07-20,1982,7,20,0,"NSF proposal data"
"356","NWT","sdl",1982-07-21,1982,7,21,0,"NSF proposal data"
"357","NWT","sdl",1982-07-22,1982,7,22,0,"NSF proposal data"
"358","NWT","sdl",1982-07-23,1982,7,23,0,"NSF proposal data"
"359","NWT","sdl",1982-07-24,1982,7,24,0,"NSF proposal data"
"360","NWT","sdl",1982-07-25,1982,7,25,3,"NSF proposal data"
"361","NWT","sdl",1982-07-26,1982,7,26,5,"NSF proposal data"
"362","NWT","sdl",1982-07-27,1982,7,27,10,"NSF proposal data"
"363","NWT","sdl",1982-07-28,1982,7,28,16,"NSF proposal data"
"364","NWT","sdl",1982-07-29,1982,7,29,11,"NSF proposal data"
"365","NWT","sdl",1982-07-30,1982,7,30,2,"NSF proposal data"
"366","NWT","sdl",1982-07-31,1982,7,31,0,"NSF proposal data"
"367","NWT","sdl",1982-08-01,1982,8,1,0,"NSF proposal data"
