"","LTER_site","local_site","date","airtemp_max","tmax_source_cw","airtemp_min","tmin_source_cw","airtemp_mean"
"35","NWT","sdl",1981-09-03,8,"NSF proposal data",0,"NSF proposal data",4
"36","NWT","sdl",1981-09-04,13,"NSF proposal data",2,"NSF proposal data",7.5
"37","NWT","sdl",1981-09-05,11,"NSF proposal data",3,"NSF proposal data",7
"38","NWT","sdl",1981-09-06,8,"NSF proposal data",1,"NSF proposal data",4.5
"39","NWT","sdl",1981-09-07,3,"NSF proposal data",-1,"NSF proposal data",1
"40","NWT","sdl",1981-09-08,11,"NSF proposal data",-1,"NSF proposal data",5
"41","NWT","sdl",1981-09-09,9,"NSF proposal data",2,"NSF proposal data",5.5
"42","NWT","sdl",1981-09-10,8,"NSF proposal data",1,"NSF proposal data",4.5
"43","NWT","sdl",1981-09-11,8,"NSF proposal data",-1,"NSF proposal data",3.5
"44","NWT","sdl",1981-09-12,11,"NSF proposal data",1,"NSF proposal data",6
"45","NWT","sdl",1981-09-13,12,"NSF proposal data",2,"NSF proposal data",7
"46","NWT","sdl",1981-09-14,10,"NSF proposal data",0,"NSF proposal data",5
"47","NWT","sdl",1981-09-15,9,"NSF proposal data",-2,"NSF proposal data",3.5
"48","NWT","sdl",1981-09-16,6,"NSF proposal data",-2,"NSF proposal data",2
"49","NWT","sdl",1981-09-17,9,"NSF proposal data",-2,"NSF proposal data",3.5
"50","NWT","sdl",1981-09-18,14,"NSF proposal data",-2,"NSF proposal data",6
"51","NWT","sdl",1981-09-19,11,"NSF proposal data",2,"NSF proposal data",6.5
"52","NWT","sdl",1981-09-20,11,"NSF proposal data",1,"NSF proposal data",6
"53","NWT","sdl",1981-09-21,10,"NSF proposal data",-1,"NSF proposal data",4.5
"54","NWT","sdl",1981-09-22,12,"NSF proposal data",3,"NSF proposal data",7.5
"55","NWT","sdl",1981-09-23,11,"NSF proposal data",1,"NSF proposal data",6
"56","NWT","sdl",1981-09-24,10,"NSF proposal data",0,"NSF proposal data",5
"57","NWT","sdl",1981-09-25,9,"NSF proposal data",-2,"NSF proposal data",3.5
"58","NWT","sdl",1981-09-26,6,"NSF proposal data",-4,"NSF proposal data",1
"59","NWT","sdl",1981-09-27,11,"NSF proposal data",0,"NSF proposal data",5.5
"60","NWT","sdl",1981-09-28,13,"NSF proposal data",4,"NSF proposal data",8.5
"61","NWT","sdl",1981-09-29,11,"NSF proposal data",2,"NSF proposal data",6.5
"62","NWT","sdl",1981-09-30,7,"NSF proposal data",-4,"NSF proposal data",1.5
"63","NWT","sdl",1981-10-01,9,"NSF proposal data",-4,"NSF proposal data",2.5
"64","NWT","sdl",1981-10-02,8,"NSF proposal data",-1,"NSF proposal data",3.5
"65","NWT","sdl",1981-10-03,1,"NSF proposal data",-4,"NSF proposal data",-1.5
"66","NWT","sdl",1981-10-04,1,"NSF proposal data",-4,"NSF proposal data",-1.5
"67","NWT","sdl",1981-10-05,0,"NSF proposal data",-5,"NSF proposal data",-2.5
"68","NWT","sdl",1981-10-06,2,"NSF proposal data",-4,"NSF proposal data",-1
"69","NWT","sdl",1981-10-07,6,"NSF proposal data",0,"NSF proposal data",3
"70","NWT","sdl",1981-10-08,4,"NSF proposal data",-4,"NSF proposal data",0
"71","NWT","sdl",1981-10-09,0,"NSF proposal data",-4,"NSF proposal data",-2
"72","NWT","sdl",1981-10-10,6,"NSF proposal data",-4,"NSF proposal data",1
"73","NWT","sdl",1981-10-11,9,"NSF proposal data",1,"NSF proposal data",5
"74","NWT","sdl",1981-10-12,0,"NSF proposal data",-4,"NSF proposal data",-2
"75","NWT","sdl",1981-10-13,2,"NSF proposal data",-4,"NSF proposal data",-1
"76","NWT","sdl",1981-10-14,-1,"NSF proposal data",-5,"NSF proposal data",-3
"77","NWT","sdl",1981-10-15,-2,"NSF proposal data",-6,"NSF proposal data",-4
"78","NWT","sdl",1981-10-16,-4,"NSF proposal data",-10,"NSF proposal data",-7
"79","NWT","sdl",1981-10-17,-4,"NSF proposal data",-10,"NSF proposal data",-7
"80","NWT","sdl",1981-10-18,-4,"NSF proposal data",-8,"NSF proposal data",-6
"81","NWT","sdl",1981-10-19,0,"NSF proposal data",-5,"NSF proposal data",-2.5
"82","NWT","sdl",1981-10-20,1,"NSF proposal data",-4,"NSF proposal data",-1.5
"83","NWT","sdl",1981-10-21,1,"NSF proposal data",-7,"NSF proposal data",-3
"84","NWT","sdl",1981-10-22,-3,"NSF proposal data",-8,"NSF proposal data",-5.5
"85","NWT","sdl",1981-10-23,-1,"NSF proposal data",-8,"NSF proposal data",-4.5
"86","NWT","sdl",1981-10-24,-4,"NSF proposal data",-13,"NSF proposal data",-8.5
"87","NWT","sdl",1981-10-25,-7,"NSF proposal data",-13,"NSF proposal data",-10
"88","NWT","sdl",1981-10-26,2,"NSF proposal data",-7,"NSF proposal data",-2.5
"89","NWT","sdl",1981-10-27,7,"NSF proposal data",-7,"NSF proposal data",0
"90","NWT","sdl",1981-10-28,2,"NSF proposal data",-4,"NSF proposal data",-1
"91","NWT","sdl",1981-10-29,2,"NSF proposal data",-8,"NSF proposal data",-3
"92","NWT","sdl",1981-10-30,1,"NSF proposal data",-3,"NSF proposal data",-1
"93","NWT","sdl",1981-10-31,0,"NSF proposal data",-5,"NSF proposal data",-2.5
"94","NWT","sdl",1981-11-01,-1,"NSF proposal data",-9,"NSF proposal data",-5
"95","NWT","sdl",1981-11-02,3,"NSF proposal data",-8,"NSF proposal data",-2.5
"96","NWT","sdl",1981-11-03,4,"NSF proposal data",-2,"NSF proposal data",1
"97","NWT","sdl",1981-11-04,3,"NSF proposal data",-3,"NSF proposal data",0
"98","NWT","sdl",1981-11-05,2,"NSF proposal data",-10,"NSF proposal data",-4
"99","NWT","sdl",1981-11-06,-7,"NSF proposal data",-13,"NSF proposal data",-10
"100","NWT","sdl",1981-11-07,-10,"NSF proposal data",-13,"NSF proposal data",-11.5
"101","NWT","sdl",1981-11-08,1,"NSF proposal data",-10,"NSF proposal data",-4.5
"102","NWT","sdl",1981-11-09,0,"NSF proposal data",-8,"NSF proposal data",-4
"103","NWT","sdl",1981-11-10,3,"NSF proposal data",-8,"NSF proposal data",-2.5
"104","NWT","sdl",1981-11-11,2,"NSF proposal data",-7,"NSF proposal data",-2.5
"105","NWT","sdl",1981-11-12,1,"NSF proposal data",-5,"NSF proposal data",-2
"106","NWT","sdl",1981-11-13,1,"NSF proposal data",-2,"NSF proposal data",-0.5
"107","NWT","sdl",1981-11-14,0,"NSF proposal data",-5,"NSF proposal data",-2.5
"108","NWT","sdl",1981-11-15,-2,"NSF proposal data",-6,"NSF proposal data",-4
"109","NWT","sdl",1981-11-16,2,"NSF proposal data",-2,"NSF proposal data",0
"110","NWT","sdl",1981-11-17,4,"NSF proposal data",-3,"NSF proposal data",0.5
"111","NWT","sdl",1981-11-18,-3,"NSF proposal data",-14,"NSF proposal data",-8.5
"112","NWT","sdl",1981-11-19,-11,"NSF proposal data",-15,"NSF proposal data",-13
"113","NWT","sdl",1981-11-20,-6,"NSF proposal data",-13,"NSF proposal data",-9.5
"114","NWT","sdl",1981-11-21,-6,"NSF proposal data",-10,"NSF proposal data",-8
"115","NWT","sdl",1981-11-22,-3,"NSF proposal data",-12.5,"NSF proposal data",-7.75
"116","NWT","sdl",1981-11-23,-3,"NSF proposal data",-6,"NSF proposal data",-4.5
"117","NWT","sdl",1981-11-24,1,"NSF proposal data",-5,"NSF proposal data",-2
"118","NWT","sdl",1981-11-25,-2,"NSF proposal data",-16,"NSF proposal data",-9
"119","NWT","sdl",1981-11-26,-7,"NSF proposal data",-18,"NSF proposal data",-12.5
"120","NWT","sdl",1981-11-27,-6,"NSF proposal data",-13,"NSF proposal data",-9.5
"121","NWT","sdl",1981-11-28,-7,"NSF proposal data",-15,"NSF proposal data",-11
"122","NWT","sdl",1981-11-29,-6,"NSF proposal data",-10,"NSF proposal data",-8
"123","NWT","sdl",1981-11-30,0,"NSF proposal data",-11,"NSF proposal data",-5.5
"124","NWT","sdl",1981-12-01,-20,"NSF proposal data",-26,"NSF proposal data",-23
"125","NWT","sdl",1981-12-02,-11,"NSF proposal data",-12.6,"NSF proposal data",-11.8
"126","NWT","sdl",1981-12-03,-10,"NSF proposal data",-12,"NSF proposal data",-11
"127","NWT","sdl",1981-12-04,-1,"NSF proposal data",-9.5,"NSF proposal data",-5.25
"128","NWT","sdl",1981-12-05,-3,"NSF proposal data",-8.2,"NSF proposal data",-5.6
"129","NWT","sdl",1981-12-06,-1,"NSF proposal data",-4.8,"NSF proposal data",-2.9
"130","NWT","sdl",1981-12-07,0,"NSF proposal data",-5,"NSF proposal data",-2.5
"131","NWT","sdl",1981-12-08,0,"NSF proposal data",-6,"NSF proposal data",-3
"132","NWT","sdl",1981-12-09,3,"NSF proposal data",-3,"NSF proposal data",0
"133","NWT","sdl",1981-12-10,-2,"NSF proposal data",-5,"NSF proposal data",-3.5
"134","NWT","sdl",1981-12-11,-4,"NSF proposal data",-9,"NSF proposal data",-6.5
"135","NWT","sdl",1981-12-12,-2,"NSF proposal data",-10,"NSF proposal data",-6
"136","NWT","sdl",1981-12-13,-8,"NSF proposal data",-12,"NSF proposal data",-10
"137","NWT","sdl",1981-12-14,-10,"NSF proposal data",-12,"NSF proposal data",-11
"138","NWT","sdl",1981-12-15,-8,"NSF proposal data",-15,"NSF proposal data",-11.5
"139","NWT","sdl",1981-12-16,-14,"NSF proposal data",-18,"NSF proposal data",-16
"140","NWT","sdl",1981-12-17,-18,"NSF proposal data",-19,"NSF proposal data",-18.5
"141","NWT","sdl",1981-12-18,-8,"NSF proposal data",-17,"NSF proposal data",-12.5
"142","NWT","sdl",1981-12-19,-5,"NSF proposal data",-11,"NSF proposal data",-8
"143","NWT","sdl",1981-12-20,-5,"NSF proposal data",-6,"NSF proposal data",-5.5
"144","NWT","sdl",1981-12-21,-6,"NSF proposal data",-16,"NSF proposal data",-11
"145","NWT","sdl",1981-12-22,-15,"NSF proposal data",-24,"NSF proposal data",-19.5
"146","NWT","sdl",1981-12-23,-20,"NSF proposal data",-24,"NSF proposal data",-22
"147","NWT","sdl",1981-12-24,-17,"NSF proposal data",-22,"NSF proposal data",-19.5
"148","NWT","sdl",1981-12-25,-16,"NSF proposal data",-20,"NSF proposal data",-18
"149","NWT","sdl",1981-12-26,-14,"NSF proposal data",-21,"NSF proposal data",-17.5
"150","NWT","sdl",1981-12-27,-14,"NSF proposal data",-21,"NSF proposal data",-17.5
"151","NWT","sdl",1981-12-28,-15,"NSF proposal data",-23,"NSF proposal data",-19
"152","NWT","sdl",1981-12-29,-8,"NSF proposal data",-17,"NSF proposal data",-12.5
"153","NWT","sdl",1981-12-30,-8,"NSF proposal data",-13,"NSF proposal data",-10.5
"154","NWT","sdl",1981-12-31,-10,"NSF proposal data",-18,"NSF proposal data",-14
"155","NWT","sdl",1982-01-01,-10,"NSF proposal data",-15,"NSF proposal data",-12.5
"156","NWT","sdl",1982-01-02,-14,"NSF proposal data",-20,"NSF proposal data",-17
"157","NWT","sdl",1982-01-03,-19,"NSF proposal data",-22,"NSF proposal data",-20.5
"158","NWT","sdl",1982-01-04,-10,"NSF proposal data",-22,"NSF proposal data",-16
"159","NWT","sdl",1982-01-05,-10,"NSF proposal data",-12,"NSF proposal data",-11
"160","NWT","sdl",1982-01-06,-12,"NSF proposal data",-27,"NSF proposal data",-19.5
"161","NWT","sdl",1982-01-07,-17,"NSF proposal data",-26,"NSF proposal data",-21.5
"162","NWT","sdl",1982-01-08,-13,"NSF proposal data",-19,"NSF proposal data",-16
"163","NWT","sdl",1982-01-09,-8,"NSF proposal data",-13,"NSF proposal data",-10.5
"164","NWT","sdl",1982-01-10,-11,"NSF proposal data",-13,"NSF proposal data",-12
"165","NWT","sdl",1982-01-11,-9,"NSF proposal data",-16,"NSF proposal data",-12.5
"166","NWT","sdl",1982-01-12,-17,"NSF proposal data",-21,"NSF proposal data",-19
"167","NWT","sdl",1982-01-13,-16,"NSF proposal data",-22,"NSF proposal data",-19
"168","NWT","sdl",1982-01-14,-13,"NSF proposal data",-16,"NSF proposal data",-14.5
"169","NWT","sdl",1982-01-15,-16,"NSF proposal data",-17,"NSF proposal data",-16.5
"170","NWT","sdl",1982-01-16,-11,"NSF proposal data",-17,"NSF proposal data",-14
"171","NWT","sdl",1982-01-17,-7,"NSF proposal data",-10,"NSF proposal data",-8.5
"172","NWT","sdl",1982-01-18,-8,"NSF proposal data",-13,"NSF proposal data",-10.5
"173","NWT","sdl",1982-01-19,-9,"NSF proposal data",-13,"NSF proposal data",-11
"174","NWT","sdl",1982-01-20,-14,"NSF proposal data",-16,"NSF proposal data",-15
"175","NWT","sdl",1982-01-21,-11,"NSF proposal data",-16,"NSF proposal data",-13.5
"176","NWT","sdl",1982-01-22,-17,"NSF proposal data",-25,"NSF proposal data",-21
"177","NWT","sdl",1982-01-23,-13,"NSF proposal data",-26,"NSF proposal data",-19.5
"178","NWT","sdl",1982-01-24,-7,"NSF proposal data",-12,"NSF proposal data",-9.5
"179","NWT","sdl",1982-01-25,-4,"NSF proposal data",-13,"NSF proposal data",-8.5
"180","NWT","sdl",1982-01-26,0,"NSF proposal data",-7,"NSF proposal data",-3.5
"181","NWT","sdl",1982-01-27,-7,"NSF proposal data",-17,"NSF proposal data",-12
"182","NWT","sdl",1982-01-28,-7,"NSF proposal data",-14,"NSF proposal data",-10.5
"183","NWT","sdl",1982-01-29,-12,"NSF proposal data",-18,"NSF proposal data",-15
"184","NWT","sdl",1982-01-30,-12,"NSF proposal data",-16,"NSF proposal data",-14
"185","NWT","sdl",1982-01-31,-13,"NSF proposal data",-16,"NSF proposal data",-14.5
"186","NWT","sdl",1982-02-01,-15,"NSF proposal data",-21,"NSF proposal data",-18
"187","NWT","sdl",1982-02-02,-17,"NSF proposal data",-25,"NSF proposal data",-21
"188","NWT","sdl",1982-02-03,-17,"NSF proposal data",-25,"NSF proposal data",-21
"189","NWT","sdl",1982-02-04,-15,"NSF proposal data",-27,"NSF proposal data",-21
"190","NWT","sdl",1982-02-05,-27,"NSF proposal data",-30,"NSF proposal data",-28.5
"191","NWT","sdl",1982-02-06,-15,"NSF proposal data",-29,"NSF proposal data",-22
"192","NWT","sdl",1982-02-07,-10,"NSF proposal data",-16,"NSF proposal data",-13
"193","NWT","sdl",1982-02-08,-14,"NSF proposal data",-22,"NSF proposal data",-18
"194","NWT","sdl",1982-02-09,-17,"NSF proposal data",-23,"NSF proposal data",-20
"195","NWT","sdl",1982-02-10,-15,"NSF proposal data",-20,"NSF proposal data",-17.5
"196","NWT","sdl",1982-02-11,-8,"NSF proposal data",-20,"NSF proposal data",-14
"197","NWT","sdl",1982-02-12,-10,"NSF proposal data",-18,"NSF proposal data",-14
"198","NWT","sdl",1982-02-13,-6,"NSF proposal data",-12,"NSF proposal data",-9
"199","NWT","sdl",1982-02-14,-6,"NSF proposal data",-10,"NSF proposal data",-8
"200","NWT","sdl",1982-02-15,-6,"NSF proposal data",-10,"NSF proposal data",-8
"201","NWT","sdl",1982-02-16,-3,"NSF proposal data",-11,"NSF proposal data",-7
"202","NWT","sdl",1982-02-17,-8,"NSF proposal data",-12,"NSF proposal data",-10
"203","NWT","sdl",1982-02-18,-3,"NSF proposal data",-15,"NSF proposal data",-9
"204","NWT","sdl",1982-02-19,-4,"NSF proposal data",-11,"NSF proposal data",-7.5
"205","NWT","sdl",1982-02-20,-1,"NSF proposal data",-7,"NSF proposal data",-4
"206","NWT","sdl",1982-02-21,2,"NSF proposal data",-6,"NSF proposal data",-2
"207","NWT","sdl",1982-02-22,0,"NSF proposal data",-6,"NSF proposal data",-3
"208","NWT","sdl",1982-02-23,-5,"NSF proposal data",-9,"NSF proposal data",-7
"209","NWT","sdl",1982-02-24,-5,"NSF proposal data",-11,"NSF proposal data",-8
"210","NWT","sdl",1982-02-25,-4,"NSF proposal data",-14,"NSF proposal data",-9
"211","NWT","sdl",1982-02-26,-6,"NSF proposal data",-13,"NSF proposal data",-9.5
"212","NWT","sdl",1982-02-27,-7,"NSF proposal data",-11,"NSF proposal data",-9
"213","NWT","sdl",1982-02-28,-6,"NSF proposal data",-11,"NSF proposal data",-8.5
"214","NWT","sdl",1982-03-01,-3,"NSF proposal data",-8,"NSF proposal data",-5.5
"215","NWT","sdl",1982-03-02,-6,"NSF proposal data",-11,"NSF proposal data",-8.5
"216","NWT","sdl",1982-03-03,-6,"NSF proposal data",-13,"NSF proposal data",-9.5
"217","NWT","sdl",1982-03-04,-13,"NSF proposal data",-18,"NSF proposal data",-15.5
"218","NWT","sdl",1982-03-05,-10,"NSF proposal data",-19,"NSF proposal data",-14.5
"219","NWT","sdl",1982-03-06,-16,"NSF proposal data",-20,"NSF proposal data",-18
"220","NWT","sdl",1982-03-07,-11,"NSF proposal data",-16,"NSF proposal data",-13.5
"221","NWT","sdl",1982-03-08,-8,"NSF proposal data",-12,"NSF proposal data",-10
"222","NWT","sdl",1982-03-09,-8,"NSF proposal data",-12,"NSF proposal data",-10
"223","NWT","sdl",1982-03-10,-7,"NSF proposal data",-9,"NSF proposal data",-8
"224","NWT","sdl",1982-03-11,-3,"NSF proposal data",-9,"NSF proposal data",-6
"225","NWT","sdl",1982-03-12,-6,"NSF proposal data",-15,"NSF proposal data",-10.5
"226","NWT","sdl",1982-03-13,-2,"NSF proposal data",-11,"NSF proposal data",-6.5
"227","NWT","sdl",1982-03-14,-4,"NSF proposal data",-8,"NSF proposal data",-6
"228","NWT","sdl",1982-03-15,-6,"NSF proposal data",-11,"NSF proposal data",-8.5
"229","NWT","sdl",1982-03-16,-4,"NSF proposal data",-12,"NSF proposal data",-8
"230","NWT","sdl",1982-03-17,-5,"NSF proposal data",-13,"NSF proposal data",-9
"231","NWT","sdl",1982-03-18,-2,"NSF proposal data",-12,"NSF proposal data",-7
"232","NWT","sdl",1982-03-19,-8,"NSF proposal data",-18,"NSF proposal data",-13
"233","NWT","sdl",1982-03-20,-15,"NSF proposal data",-20,"NSF proposal data",-17.5
"234","NWT","sdl",1982-03-21,-12,"NSF proposal data",-19,"NSF proposal data",-15.5
"235","NWT","sdl",1982-03-22,-9,"NSF proposal data",-17,"NSF proposal data",-13
"236","NWT","sdl",1982-03-23,-9,"NSF proposal data",-16,"NSF proposal data",-12.5
"237","NWT","sdl",1982-03-24,-8,"NSF proposal data",-14,"NSF proposal data",-11
"238","NWT","sdl",1982-03-25,-4,"NSF proposal data",-13,"NSF proposal data",-8.5
"239","NWT","sdl",1982-03-26,-4,"NSF proposal data",-10,"NSF proposal data",-7
"240","NWT","sdl",1982-03-27,-3,"NSF proposal data",-11,"NSF proposal data",-7
"241","NWT","sdl",1982-03-28,-1,"NSF proposal data",-10,"NSF proposal data",-5.5
"242","NWT","sdl",1982-03-29,-4,"NSF proposal data",-18,"NSF proposal data",-11
"243","NWT","sdl",1982-03-30,-14,"NSF proposal data",-18,"NSF proposal data",-16
"244","NWT","sdl",1982-03-31,-4,"NSF proposal data",-16,"NSF proposal data",-10
"245","NWT","sdl",1982-04-01,1,"NSF proposal data",-7,"NSF proposal data",-3
"246","NWT","sdl",1982-04-02,-7,"NSF proposal data",-18,"NSF proposal data",-12.5
"247","NWT","sdl",1982-04-03,-5,"NSF proposal data",-15,"NSF proposal data",-10
"248","NWT","sdl",1982-04-04,-2,"NSF proposal data",-15,"NSF proposal data",-8.5
"249","NWT","sdl",1982-04-05,-11,"NSF proposal data",-20,"NSF proposal data",-15.5
"250","NWT","sdl",1982-04-06,-7,"NSF proposal data",-11,"NSF proposal data",-9
"251","NWT","sdl",1982-04-07,-9,"NSF proposal data",-19,"NSF proposal data",-14
"252","NWT","sdl",1982-04-08,-15,"NSF proposal data",-20,"NSF proposal data",-17.5
"253","NWT","sdl",1982-04-09,-11,"NSF proposal data",-20,"NSF proposal data",-15.5
"254","NWT","sdl",1982-04-10,-7,"NSF proposal data",-18,"NSF proposal data",-12.5
"255","NWT","sdl",1982-04-11,2,"NSF proposal data",-10,"NSF proposal data",-4
"256","NWT","sdl",1982-04-12,-1,"NSF proposal data",-7,"NSF proposal data",-4
"257","NWT","sdl",1982-04-13,0,"NSF proposal data",-8,"NSF proposal data",-4
"258","NWT","sdl",1982-04-14,2,"NSF proposal data",-7,"NSF proposal data",-2.5
"259","NWT","sdl",1982-04-15,-1,"NSF proposal data",-9,"NSF proposal data",-5
"260","NWT","sdl",1982-04-16,-10,"NSF proposal data",-17,"NSF proposal data",-13.5
"261","NWT","sdl",1982-04-17,-3,"NSF proposal data",-15,"NSF proposal data",-9
"262","NWT","sdl",1982-04-18,-3,"NSF proposal data",-13,"NSF proposal data",-8
"263","NWT","sdl",1982-04-19,-14,"NSF proposal data",-20,"NSF proposal data",-17
"264","NWT","sdl",1982-04-20,-14,"NSF proposal data",-24,"NSF proposal data",-19
"265","NWT","sdl",1982-04-21,-2,"NSF proposal data",-21,"NSF proposal data",-11.5
"266","NWT","sdl",1982-04-22,-2,"NSF proposal data",-16,"NSF proposal data",-9
"267","NWT","sdl",1982-04-23,1,"NSF proposal data",-10,"NSF proposal data",-4.5
"268","NWT","sdl",1982-04-24,-1,"NSF proposal data",-8,"NSF proposal data",-4.5
"269","NWT","sdl",1982-04-25,-1,"NSF proposal data",-8,"NSF proposal data",-4.5
"270","NWT","sdl",1982-04-26,-2,"NSF proposal data",-10,"NSF proposal data",-6
"271","NWT","sdl",1982-04-27,-6,"NSF proposal data",-11,"NSF proposal data",-8.5
"272","NWT","sdl",1982-04-28,-2,"NSF proposal data",-12,"NSF proposal data",-7
"273","NWT","sdl",1982-04-29,-3,"NSF proposal data",-10,"NSF proposal data",-6.5
"274","NWT","sdl",1982-04-30,-2,"NSF proposal data",-12,"NSF proposal data",-7
"275","NWT","sdl",1982-05-01,4,"NSF proposal data",-5,"NSF proposal data",-0.5
"276","NWT","sdl",1982-05-02,6,"NSF proposal data",-3,"NSF proposal data",1.5
"277","NWT","sdl",1982-05-03,0,"NSF proposal data",-4,"NSF proposal data",-2
"278","NWT","sdl",1982-05-04,0,"NSF proposal data",-6,"NSF proposal data",-3
"279","NWT","sdl",1982-05-05,-4,"NSF proposal data",-13,"NSF proposal data",-8.5
"280","NWT","sdl",1982-05-06,-8,"NSF proposal data",-16,"NSF proposal data",-12
"281","NWT","sdl",1982-05-07,-4,"NSF proposal data",-10,"NSF proposal data",-7
"282","NWT","sdl",1982-05-08,1,"NSF proposal data",-7,"NSF proposal data",-3
"283","NWT","sdl",1982-05-09,2,"NSF proposal data",-4,"NSF proposal data",-1
"284","NWT","sdl",1982-05-10,0,"NSF proposal data",-9,"NSF proposal data",-4.5
"285","NWT","sdl",1982-05-11,-3,"NSF proposal data",-7,"NSF proposal data",-5
"286","NWT","sdl",1982-05-12,-4,"NSF proposal data",-9,"NSF proposal data",-6.5
"287","NWT","sdl",1982-05-13,-5,"NSF proposal data",-9,"NSF proposal data",-7
"288","NWT","sdl",1982-05-14,-5,"NSF proposal data",-10,"NSF proposal data",-7.5
"289","NWT","sdl",1982-05-15,-2,"NSF proposal data",-9,"NSF proposal data",-5.5
"290","NWT","sdl",1982-05-16,-1,"NSF proposal data",-7,"NSF proposal data",-4
"291","NWT","sdl",1982-05-17,-1,"NSF proposal data",-7,"NSF proposal data",-4
"292","NWT","sdl",1982-05-18,3,"NSF proposal data",-4,"NSF proposal data",-0.5
"293","NWT","sdl",1982-05-19,5,"NSF proposal data",-6,"NSF proposal data",-0.5
"294","NWT","sdl",1982-05-20,-3,"NSF proposal data",-7,"NSF proposal data",-5
"295","NWT","sdl",1982-05-21,3,"NSF proposal data",-8,"NSF proposal data",-2.5
"296","NWT","sdl",1982-05-22,9,"NSF proposal data",-6,"NSF proposal data",1.5
"297","NWT","sdl",1982-05-23,5,"NSF proposal data",-4,"NSF proposal data",0.5
"298","NWT","sdl",1982-05-24,3,"NSF proposal data",-7,"NSF proposal data",-2
"299","NWT","sdl",1982-05-25,-3,"NSF proposal data",-10,"NSF proposal data",-6.5
"300","NWT","sdl",1982-05-26,4,"NSF proposal data",-9,"NSF proposal data",-2.5
"301","NWT","sdl",1982-05-27,8,"NSF proposal data",1,"NSF proposal data",4.5
"302","NWT","sdl",1982-05-28,3,"NSF proposal data",-4,"NSF proposal data",-0.5
"303","NWT","sdl",1982-05-29,5,"NSF proposal data",-5,"NSF proposal data",0
"304","NWT","sdl",1982-05-30,1,"NSF proposal data",-6,"NSF proposal data",-2.5
"305","NWT","sdl",1982-05-31,3,"NSF proposal data",-8,"NSF proposal data",-2.5
"306","NWT","sdl",1982-06-01,5,"NSF proposal data",-5,"NSF proposal data",0
"307","NWT","sdl",1982-06-02,3,"NSF proposal data",-6,"NSF proposal data",-1.5
